id,nome,telefone,nascimento,cpf,cep,uf,logradouro,bairro,cidade,complemento
0001056,Vicente Santos,+55 (45) 90808-2056,1974-04-19,73648034596,81010270,PR,Rua Djalma Ferreira Maciel - de 241/242 ao fim,Lindóia,Curitiba,"Bloco C1, Apto 641"
0001057,Dom da Rosa,+55 (22) 97584-7800,1968-11-02,81346053464,25615500,RJ,Vila Francisco Verrissimo da Silva,Quissama,Petrópolis,"Bloco C2, Apto 880"
0001058,Ana Lívia Rios,+55 (31) 96028-4098,1997-12-12,00241086345,39445165,MG,Rua Olívia Magalhães de Oliveira - lado par,Esplanada,Janaúba,
0001059,Lorenzo Novaes,+55 (81) 4933-6884,1998-04-29,59446374049,50711060,PE,Rua Dário Meira,Zumbi,Recife,Apto 453
0001060,Noah das Neves,+55 (93) 92381-8886,1987-05-18,81209360195,67030970,PA,"Rua Cláudio Sanders, 25",Centro,Ananindeua,"Bloco D3, Apto 153"
0001061,Levi Oliveira,+55 (15) 98277-1913,1981-01-08,91489243003,11055020,SP,Rua Voluntários Santistas,Boqueirão,Santos,"Bloco C1, Apto 930"
0001062,Luiza Macedo,+55 (51) 93399-8466,2000-05-16,99115446050,92130650,RS,Beco Cinco de Abril,Niterói,Canoas,Apto 723
0001063,Maria Guerra,+55 (21) 92462-5429,1959-04-23,20713382864,22793267,RJ,Rua Pedro Ludovico,Barra da Tijuca,Rio de Janeiro,"Bloco D3, Apto 860"
0001064,Rafaela Costela,+55 (33) 92560-4288,1990-07-08,40149748205,33233060,MG,Rua Uriel de Abreu,Várzea,Lagoa Santa,
0001065,João Gabriel Mendonça,+55 (55) 97094-2767,1968-12-28,49374339897,95180410,RS,Rua Casca,São José,Farroupilha,"Bloco E4, Apto 985"
0001066,Ana Vitória Azevedo,+55 (22) 96876-7803,1975-08-28,65001595436,22060020,RJ,Rua Leopoldo Miguez - lado par,Copacabana,Rio de Janeiro,
0001067,Raquel Viana,+55 (86) 99390-3199,2006-07-10,97419483957,62041500,CE,Rua Guiomão Almeida,Alto da Brasília,Sobral,Apto 146
0001068,Brenda Monteiro,+55 (62) 90481-6211,1992-09-07,38148099634,74973743,GO,Rua Iracema,Setor Serra Dourada - 3ª Etapa,Aparecida de Goiânia,"Bloco E3, Apto 521"
0001069,Yuri Duarte,+55 (21) 92402-4221,1955-07-04,66531796804,22710295,RJ,Rua Nicolau Paganini,Taquara,Rio de Janeiro,Apto 57
0001070,Davi Luiz da Mota,+55 (88) 96084-0589,2001-12-01,16026235116,63038480,CE,Rua Maria Vilani Arraes da Costa,Monsenhor Francisco Murilo de Sá Barreto,Juazeiro do Norte,Apto 474
0001071,Enrico Pereira,+55 (12) 5249-2843,1989-06-20,12072584159,06770080,SP,Rua Tsuruki Tsuno,Jardim Clementino,Taboão da Serra,
0001072,Bruna da Luz,+55 (62) 97527-3688,1968-06-13,92535300060,75528043,GO,Rua Maria Similiana Rodrigues,Conjunto Habitacional Juca Arantes,Itumbiara,Apto 596
0001073,Raquel Pacheco,+55 (24) 3901-5246,1978-12-30,08745859027,26310235,RJ,Rua Guapi,São Roque,Queimados,
0001074,Manuela da Conceição,+55 (84) 95374-2206,1994-05-31,71375682547,59154075,RN,Rua Parque das Cachoeiras,Parque das Árvores,Parnamirim,"Bloco C2, Apto 652"
0001075,Srta. Maria Helena Pacheco,+55 (21) 4114-7170,1958-02-10,69508047500,23587590,RJ,Rua H (Lot Jardim dos Vieira),Paciência,Rio de Janeiro,
0001076,Alana Araújo,+55 (31) 95667-7041,1975-02-06,93064748300,38038084,MG,Rua Antônio Gonçalves Mendonça,Jardim Itália II,Uberaba,
0001077,Esther Borges,+55 (66) 95585-8571,1957-07-20,88471656108,76808238,RO,Rua Tamareira - de 4317/4318 a 4526/4527,Caladinho,Porto Velho,
0001078,Ayla Alves,+55 (64) 95832-7324,1981-11-07,46357358347,74594395,GO,Rua JI 3,Residencial Humaitá,Goiânia,"Bloco A5, Apto 125"
0001079,Srta. Eduarda Vargas,+55 (22) 99588-4954,1952-08-29,19122160434,27263340,RJ,Rua Duzentos e Trinta e Nove,Conforto,Volta Redonda,
0001080,João Miguel Mendes,+55 (34) 91269-8189,1960-10-09,27667214522,33230359,MG,Rua São Cristóvão,Promissão I,Lagoa Santa,"Bloco D5, Apto 912"
0001081,Isis Novaes,+55 (48) 94707-9724,1969-04-05,18685394074,89021400,SC,Rua Alwin Kaestner,Garcia,Blumenau,Apto 483
0001082,Apollo Campos,+55 (86) 3880-5286,1975-01-01,37837771001,54315320,PE,Estrada Velha do Jordão,Jardim Jordão,Jaboatão dos Guararapes,Casa 40
0001083,Eloá Sampaio,+55 (62) 95639-5537,1973-12-12,50848308700,74973080,GO,Rua Alípio Junqueira,Setor Serra Dourada - 3ª Etapa,Aparecida de Goiânia,
0001084,Asafe Viana,+55 (82) 90919-0796,1954-08-28,63660036706,57039700,AL,Rodovia Gunther Frans Oliveira (AL 101 Norte),Ipioca,Maceió,Casa 50
0001085,Srta. Camila da Costa,+55 (77) 92696-1852,1995-12-27,84255773220,44042549,BA,Rua Sublime,Campo do Gado Novo,Feira de Santana,Apto 608
0001086,Francisco da Rosa,+55 (77) 95377-2272,1957-01-09,32520000910,45989124,BA,Rua Marilzan Cavalcante,Castelinho,Teixeira de Freitas,
